,typebldg,floor,room,basement,activity,pcterr,county,Uppm
0,1,1,2,N,0.3,0.0,APACHE              ,2.26437
1,0,9,0, ,0.6,33.3,APACHE              ,2.26437
2,1,1,3,N,0.5,0.0,APACHE              ,2.26437
3,1,1,3,N,0.6,97.2,APACHE              ,2.26437
4,1,1,1,N,0.3,0.0,APACHE              ,2.26437
5,1,1,1,N,1.2,22.7,APACHE              ,2.26437
6,0,9,0, ,5.0,8.5,APACHE              ,2.26437
7,1,1,1,N,3.5,9.2,APACHE              ,2.26437
8,0,9,0, ,1.2,14.9,APACHE              ,2.26437
9,1,1,3, ,0.6,40.8,APACHE              ,2.26437
10,1,1,1,N,1.3,15.8,APACHE              ,2.26437
11,1,1,2, ,0.4,0.0,APACHE              ,2.26437
12,1,0,2,Y,4.9,9.9,APACHE              ,2.26437
13,1,1,1,N,0.6,45.7,APACHE              ,2.26437
14,5,1,5,N,0.3,0.0,APACHE              ,2.26437
15,1,1,1,N,1.1,26.9,COCHISE             ,2.34707
16,0,1,1,N,0.7,23.8,COCHISE             ,2.34707
17,0,9,0, ,1.0,31.4,COCHISE             ,2.34707
18,1,1,7,N,0.6,28.3,COCHISE             ,2.34707
19,1,1,1,N,2.1,13.4,COCHISE             ,2.34707
20,1,0,1,Y,0.5,0.0,COCHISE             ,2.34707
21,1,1,1,N,0.4,0.0,COCHISE             ,2.34707
22,1,1,1,N,0.6,34.6,COCHISE             ,2.34707
23,1,1,7,Y,0.3,0.0,COCHISE             ,2.34707
24,1,1,3,N,0.4,0.0,COCHISE             ,2.34707
25,0,9,0,N,0.5,0.0,COCHISE             ,2.34707
26,0,9,0, ,1.9,22.8,COCHISE             ,2.34707
27,1,1,3,N,3.2,15.3,COCHISE             ,2.34707
28,1,1,3,N,0.8,43.7,COCHISE             ,2.34707
29,1,1,3,N,0.5,43.6,COCHISE             ,2.34707
30,0,9,0, ,0.5,0.0,COCHISE             ,2.34707
31,1,1,1,N,1.9,11.6,COCHISE             ,2.34707
32,1,1,3,N,2.2,10.5,COCHISE             ,2.34707
33,1,1,1,N,1.5,17.0,COCHISE             ,2.34707
34,5,1,1,N,2.9,12.8,COCHISE             ,2.34707
35,1,1,2,N,3.6,9.3,COCHISE             ,2.34707
36,1,1,1, ,5.8,5.7,COCHISE             ,2.34707
37,1,1,3,N,11.1,3.3,COCHISE             ,2.34707
38,1,1,3,N,2.2,13.0,COCHISE             ,2.34707
39,1,1,3,N,0.4,0.0,COCHISE             ,2.34707
40,1,1,1,N,3.7,6.5,COCHISE             ,2.34707
41,1,1,1,N,1.8,13.9,COCHISE             ,2.34707
42,1,1,3,N,0.2,0.0,COCHISE             ,2.34707
43,1,1,1,N,0.4,0.0,COCHISE             ,2.34707
44,1,1,3,N,0.2,0.0,COCHISE             ,2.34707
45,1,1,2,N,0.1,0.0,COCHISE             ,2.34707
46,0,9,0, ,0.0,0.0,COCHISE             ,2.34707
47,1,1,3,N,0.1,0.0,COCHISE             ,2.34707
48,1,1,1,N,0.6,44.9,COCHISE             ,2.34707
49,1,1,3,N,2.4,9.4,COCHISE             ,2.34707
50,0,9,0, ,2.0,12.2,COCHISE             ,2.34707
51,1,1,1,N,4.0,17.8,COCHISE             ,2.34707
52,5,1,7,N,0.7,40.2,COCHISE             ,2.34707
53,1,1,7,N,1.2,21.0,COCHISE             ,2.34707
54,1,0,7,N,2.1,12.6,COCONINO            ,2.01841
55,1,1,3,N,0.2,0.0,COCONINO            ,2.01841
56,0,9,0, ,0.1,0.0,COCONINO            ,2.01841
57,1,1,3,N,0.2,0.0,COCONINO            ,2.01841
58,1,1,7,N,0.6,26.5,COCONINO            ,2.01841
59,1,1,1,N,0.8,24.6,COCONINO            ,2.01841
60,1,1,3,N,0.7,31.8,COCONINO            ,2.01841
61,1,1,1,N,3.8,5.9,COCONINO            ,2.01841
62,1,1,1,N,1.8,19.9,COCONINO            ,2.01841
63,1,1,3,N,3.8,7.4,COCONINO            ,2.01841
64,1,1,1,N,3.2,13.9,COCONINO            ,2.01841
65,0,9,0, ,1.1,35.5,COCONINO            ,2.01841
66,1,1,1,N,3.7,9.6,COCONINO            ,2.01841
67,1,1,2,N,4.4,6.2,COCONINO            ,2.01841
68,5,1,1, ,2.1,11.1,COCONINO            ,2.01841
69,1,1,7,N,3.6,7.0,COCONINO            ,2.01841
70,1,1,3,N,3.0,12.7,COCONINO            ,2.01841
71,2,1,3,N,0.3,0.0,COCONINO            ,2.01841
72,1,1,3,N,1.6,12.4,COCONINO            ,2.01841
73,1,1,7,N,9.6,3.5,COCONINO            ,2.01841
74,1,1,5,N,0.6,30.7,COCONINO            ,2.01841
75,1,1,1,N,1.7,18.5,COCONINO            ,2.01841
76,0,9,0, ,0.7,83.1,COCONINO            ,2.01841
77,1,1,1,N,0.9,26.1,COCONINO            ,2.01841
78,1,1,1,N,12.9,4.9,COCONINO            ,2.01841
79,1,1,7,N,0.6,37.2,COCONINO            ,2.01841
80,1,1,1,N,7.7,3.8,COCONINO            ,2.01841
81,1,1,3,N,1.2,67.1,COCONINO            ,2.01841
82,1,1,7,N,8.3,3.4,COCONINO            ,2.01841
83,1,1,3,N,1.2,19.4,COCONINO            ,2.01841
84,1,1,1,N,4.5,14.2,COCONINO            ,2.01841
85,5,1,3,N,0.7,32.5,COCONINO            ,2.01841
86,1,1,1,N,2.6,13.6,COCONINO            ,2.01841
87,1,1,7,N,3.3,7.8,COCONINO            ,2.01841
88,1,1,3,N,1.1,37.6,COCONINO            ,2.01841
89,1,1,3,N,3.7,9.9,COCONINO            ,2.01841
90,1,1,3,N,2.1,12.9,COCONINO            ,2.01841
91,1,1,3,N,6.7,6.4,COCONINO            ,2.01841
92,1,1,1,N,1.0,18.4,COCONINO            ,2.01841
93,0,9,0, ,1.4,33.4,COCONINO            ,2.01841
94,1,1,1, ,2.4,11.9,COCONINO            ,2.01841
95,1,1,3,N,0.4,0.0,COCONINO            ,2.01841
96,1,1,3,N,3.4,8.4,COCONINO            ,2.01841
97,1,1,1,N,4.0,11.6,COCONINO            ,2.01841
98,1,1,5,N,1.5,15.6,COCONINO            ,2.01841
99,1,1,1,N,0.5,35.3,COCONINO            ,2.01841
100,1,1,3,N,0.5,0.0,COCONINO            ,2.01841
101,5,1,7,N,0.2,0.0,COCONINO            ,2.01841
102,1,1,3,N,0.3,0.0,COCONINO            ,2.01841
103,1,1,2,N,0.7,47.5,COCONINO            ,2.01841
104,1,1,2,N,0.5,0.0,COCONINO            ,2.01841
105,2,1,3,N,0.5,0.0,COCONINO            ,2.01841
106,1,0,4,Y,2.3,9.1,COCONINO            ,2.01841
107,1,1,7,N,0.7,48.4,COCONINO            ,2.01841
108,0,9,0, ,0.0,0.0,COCONINO            ,2.01841
109,1,1,7,N,0.1,0.0,COCONINO            ,2.01841
110,1,1,3,N,1.1,15.4,COCONINO            ,2.01841
111,1,1,3,N,0.2,0.0,COCONINO            ,2.01841
112,1,1,2,N,0.1,0.0,COCONINO            ,2.01841
113,1,1,7,N,0.6,36.1,COCONINO            ,2.01841
114,1,1,2,N,1.4,16.3,COCONINO            ,2.01841
115,1,1,3,N,0.1,0.0,COCONINO            ,2.01841
116,1,1,2,N,1.9,13.6,COCONINO            ,2.01841
117,1,1,1,Y,1.5,17.3,COCONINO            ,2.01841
118,1,1,7,Y,0.8,26.9,COCONINO            ,2.01841
119,1,1,1,N,1.1,26.1,COCONINO            ,2.01841
120,1,1,3,N,1.1,20.4,COCONINO            ,2.01841
121,0,9,0, ,0.2,0.0,COCONINO            ,2.01841
122,1,0,4,Y,1.8,13.8,COCONINO            ,2.01841
123,1,1,2,N,0.8,24.3,COCONINO            ,2.01841
124,1,1,3,N,1.0,19.1,COCONINO            ,2.01841
125,1,0,2,Y,3.7,8.3,COCONINO            ,2.01841
126,1,1,1,N,0.6,30.6,COCONINO            ,2.01841
127,1,1,7,N,0.5,44.2,COCONINO            ,2.01841
128,1,1,3,N,0.9,26.3,COCONINO            ,2.01841
129,1,1,1,N,13.5,3.1,COCONINO            ,2.01841
130,1,1,1,N,0.4,0.0,COCONINO            ,2.01841
131,1,1,3,N,0.4,0.0,COCONINO            ,2.01841
132,1,1,3,N,0.8,41.5,COCONINO            ,2.01841
133,1,1,1,N,0.3,0.0,COCONINO            ,2.01841
134,1,1,5,N,0.1,0.0,COCONINO            ,2.01841
135,1,1,3,N,0.2,0.0,COCONINO            ,2.01841
136,1,1,2,N,1.4,23.5,COCONINO            ,2.01841
137,1,1,5,N,0.2,0.0,COCONINO            ,2.01841
138,0,9,0, ,0.9,30.7,COCONINO            ,2.01841
139,1,1,3,N,0.0,0.0,COCONINO            ,2.01841
140,1,1,7,N,0.5,27.8,COCONINO            ,2.01841
141,1,1,1,N,0.5,36.7,COCONINO            ,2.01841
142,1,1,3,N,0.1,0.0,COCONINO            ,2.01841
143,1,1,3,N,0.9,19.6,GILA                ,2.3866
144,1,1,1,N,0.0,0.0,GILA                ,2.3866
145,1,0,4,Y,0.9,25.6,GILA                ,2.3866
146,1,1,2,Y,1.2,17.0,GILA                ,2.3866
147,1,1,7,N,2.1,11.3,GILA                ,2.3866
148,1,1,3,N,0.6,45.1,GILA                ,2.3866
149,1,1,3,N,0.7,35.6,GILA                ,2.3866
150,1,1,1,N,1.7,12.0,GILA                ,2.3866
151,1,1,2,N,0.3,0.0,GILA                ,2.3866
152,1,1,7,N,0.8,25.8,GILA                ,2.3866
153,1,1,3,N,1.3,20.2,GILA                ,2.3866
154,1,1,7,N,1.7,14.2,GILA                ,2.3866
155,1,1,3,N,2.4,14.1,GILA                ,2.3866
156,1,1,1,N,0.3,0.0,GRAHAM              ,2.40633
157,1,1,3,N,1.5,13.4,GRAHAM              ,2.40633
158,1,1,3,N,0.0,0.0,GRAHAM              ,2.40633
159,0,9,0, ,2.8,10.3,GRAHAM              ,2.40633
160,1,1,2,N,1.8,17.3,GRAHAM              ,2.40633
161,0,9,0, ,2.7,10.4,GRAHAM              ,2.40633
162,1,1,3,N,1.1,23.3,GRAHAM              ,2.40633
163,1,1,3,N,2.4,11.5,GRAHAM              ,2.40633
164,1,1,1,N,0.7,63.0,GRAHAM              ,2.40633
165,1,1,2,N,2.1,12.3,GRAHAM              ,2.40633
166,1,1,3,N,0.7,31.5,GRAHAM              ,2.40633
167,1,1,1,N,0.6,67.9,GRAHAM              ,2.40633
168,1,1,1,N,1.5,18.4,GRAHAM              ,2.40633
169,1,1,1,N,0.8,25.4,GRAHAM              ,2.40633
170,1,1,2,N,1.2,26.8,GRAHAM              ,2.40633
171,1,1,1,N,0.2,0.0,GRAHAM              ,2.40633
172,1,1,2,N,0.6,35.1,GRAHAM              ,2.40633
173,1,1,3,N,0.2,0.0,GRAHAM              ,2.40633
174,1,1,3,N,0.2,0.0,GRAHAM              ,2.40633
175,1,1,1,N,0.2,0.0,GRAHAM              ,2.40633
176,1,1,3,N,0.0,0.0,GRAHAM              ,2.40633
177,1,1,2,N,0.7,118.2,GRAHAM              ,2.40633
178,1,1,3,N,1.1,26.9,GRAHAM              ,2.40633
179,1,1,2,N,2.0,11.8,GRAHAM              ,2.40633
180,1,1,3,N,2.8,15.5,GRAHAM              ,2.40633
181,1,1,3,N,1.0,19.7,GRAHAM              ,2.40633
182,1,1,1,N,0.7,35.6,GRAHAM              ,2.40633
183,1,1,1,N,0.1,0.0,GRAHAM              ,2.40633
184,0,9,0, ,0.7,54.8,GRAHAM              ,2.40633
185,1,1,3,N,1.2,17.7,GREENLEE            ,1.5874700000000002
186,1,1,3,N,0.7,36.4,GREENLEE            ,1.5874700000000002
187,1,1,3,N,2.2,12.1,GREENLEE            ,1.5874700000000002
188,1,1,2,N,0.8,28.0,GREENLEE            ,1.5874700000000002
189,1,1,1,N,2.4,10.2,GREENLEE            ,1.5874700000000002
190,1,1,1,N,0.5,37.4,GREENLEE            ,1.5874700000000002
191,1,1,3,N,0.9,40.0,GREENLEE            ,1.5874700000000002
192,1,1,3,N,0.3,0.0,GREENLEE            ,1.5874700000000002
193,1,1,1, ,0.5,0.0,LA PAZ              ,0.0
194,1,1,3,N,0.0,0.0,LA PAZ              ,0.0
195,1,1,1,N,1.7,15.3,MARICOPA            ,3.11518
196,1,1,2,N,1.5,13.4,MARICOPA            ,3.11518
197,1,1,3,N,1.4,15.7,MARICOPA            ,3.11518
198,1,1,7,N,0.7,34.9,MARICOPA            ,3.11518
199,1,1,1,N,1.7,16.0,MARICOPA            ,3.11518
200,1,1,3,N,1.5,30.3,MARICOPA            ,3.11518
201,1,1,2,N,2.9,11.0,MARICOPA            ,3.11518
202,1,1,7,N,0.0,0.0,MARICOPA            ,3.11518
203,1,1,3,N,0.6,39.3,MARICOPA            ,3.11518
204,1,1,7,N,0.3,0.0,MARICOPA            ,3.11518
205,1,1,3,N,2.7,9.3,MARICOPA            ,3.11518
206,1,1,1,N,0.8,89.8,MARICOPA            ,3.11518
207,1,1,2,N,0.1,0.0,MARICOPA            ,3.11518
208,1,1,1,N,0.2,0.0,MARICOPA            ,3.11518
209,0,9,0, ,1.6,13.9,MARICOPA            ,3.11518
210,1,1,3,N,1.3,12.8,MARICOPA            ,3.11518
211,2,1,2,N,1.0,23.7,MARICOPA            ,3.11518
212,1,1,7,N,1.0,29.0,MARICOPA            ,3.11518
213,1,1,1,N,0.9,32.2,MARICOPA            ,3.11518
214,1,1,3,N,0.4,0.0,MARICOPA            ,3.11518
215,1,1,2,N,3.4,8.4,MARICOPA            ,3.11518
216,1,1,7,N,0.6,50.2,MARICOPA            ,3.11518
217,1,1,1,N,0.6,49.4,MARICOPA            ,3.11518
218,1,1,3,N,0.8,26.1,MARICOPA            ,3.11518
219,1,1,2,N,0.5,0.0,MARICOPA            ,3.11518
220,1,1,1,N,0.9,32.6,MARICOPA            ,3.11518
221,1,1,3, ,0.0,0.0,MARICOPA            ,3.11518
222,1,1,2, ,2.8,14.5,MARICOPA            ,3.11518
223,1,1,3,N,0.2,0.0,MARICOPA            ,3.11518
224,1,1,3,N,0.0,0.0,MARICOPA            ,3.11518
225,1,1,3,N,0.4,0.0,MARICOPA            ,3.11518
226,1,1,1,N,0.7,32.9,MARICOPA            ,3.11518
227,1,1,3,N,1.2,35.5,MARICOPA            ,3.11518
228,0,9,0, ,6.6,16.9,MARICOPA            ,3.11518
229,0,9,0, ,0.2,0.0,MARICOPA            ,3.11518
230,2,1,3,N,3.4,7.1,MARICOPA            ,3.11518
231,1,1,3,N,0.2,0.0,MARICOPA            ,3.11518
232,2,1,2,N,1.0,57.1,MARICOPA            ,3.11518
233,1,1,1,N,1.7,10.9,MARICOPA            ,3.11518
234,0,9,0, ,2.3,68.1,MARICOPA            ,3.11518
235,1,1,7,N,4.6,7.0,MARICOPA            ,3.11518
236,0,9,0, ,1.4,66.0,MARICOPA            ,3.11518
237,5,1,7,N,2.0,11.5,MARICOPA            ,3.11518
238,1,1,3,N,0.9,32.6,MARICOPA            ,3.11518
239,1,1,1,N,1.7,15.5,MARICOPA            ,3.11518
240,1,1,1,N,1.1,20.7,MARICOPA            ,3.11518
241,1,1,1,N,1.3,19.9,MARICOPA            ,3.11518
242,1,1,5,N,1.5,18.6,MARICOPA            ,3.11518
243,1,1,1,N,0.4,0.0,MARICOPA            ,3.11518
244,1,1,1,N,0.3,0.0,MARICOPA            ,3.11518
245,2,1,1,N,1.6,12.4,MARICOPA            ,3.11518
246,1,1,3,N,0.5,0.0,MARICOPA            ,3.11518
247,1,1,1,N,1.1,34.2,MARICOPA            ,3.11518
248,0,9,0, ,1.5,20.7,MARICOPA            ,3.11518
249,1,1,2,N,1.7,27.6,MARICOPA            ,3.11518
250,0,9,0, ,2.8,9.6,MARICOPA            ,3.11518
251,5,1,3,N,2.6,13.6,MARICOPA            ,3.11518
252,2,1,1,N,5.4,8.1,MARICOPA            ,3.11518
253,1,1,1,N,0.9,31.9,MARICOPA            ,3.11518
254,1,1,1,N,2.2,10.6,MARICOPA            ,3.11518
255,1,1,3,N,0.4,0.0,MARICOPA            ,3.11518
256,1,1,1,N,1.4,15.4,MARICOPA            ,3.11518
257,1,1,2,N,0.6,25.0,MARICOPA            ,3.11518
258,1,1,3,N,0.1,0.0,MARICOPA            ,3.11518
259,1,1,3,N,0.3,0.0,MARICOPA            ,3.11518
260,1,1,1,N,0.3,0.0,MARICOPA            ,3.11518
261,1,1,1,N,0.4,0.0,MARICOPA            ,3.11518
262,1,1,3,N,1.4,17.8,MARICOPA            ,3.11518
263,1,1,7,N,1.7,23.6,MARICOPA            ,3.11518
264,1,1,2,N,0.9,32.8,MARICOPA            ,3.11518
265,1,1,2,N,2.7,9.7,MARICOPA            ,3.11518
266,2,1,2,N,0.8,26.3,MARICOPA            ,3.11518
267,1,1,1,N,0.8,64.5,MARICOPA            ,3.11518
268,2,1,2,N,0.9,23.5,MARICOPA            ,3.11518
269,1,1,1,N,0.3,0.0,MARICOPA            ,3.11518
270,1,1,7,N,1.0,34.6,MARICOPA            ,3.11518
271,1,1,3,N,0.9,30.9,MARICOPA            ,3.11518
272,2,1,1,N,2.4,9.0,MARICOPA            ,3.11518
273,1,1,1,N,1.1,20.7,MARICOPA            ,3.11518
274,1,1,3,N,0.0,0.0,MARICOPA            ,3.11518
275,1,1,2,N,0.2,0.0,MARICOPA            ,3.11518
276,1,1,3,N,0.4,0.0,MARICOPA            ,3.11518
277,1,1,3,N,1.0,29.1,MARICOPA            ,3.11518
278,1,1,3,N,0.6,38.1,MARICOPA            ,3.11518
279,1,1,3,N,1.3,25.3,MARICOPA            ,3.11518
280,1,1,1,N,1.3,14.5,MARICOPA            ,3.11518
281,1,1,3,N,4.8,22.6,MARICOPA            ,3.11518
282,1,1,3,N,1.3,27.8,MARICOPA            ,3.11518
283,1,1,3,N,1.1,22.8,MARICOPA            ,3.11518
284,1,1,3,N,1.4,13.4,MARICOPA            ,3.11518
285,1,1,1, ,0.3,0.0,MARICOPA            ,3.11518
286,1,1,3,N,0.6,123.6,MARICOPA            ,3.11518
287,1,1,3,N,2.9,8.5,MARICOPA            ,3.11518
288,1,1,1,N,2.0,14.5,MARICOPA            ,3.11518
289,1,1,3,N,3.2,9.8,MARICOPA            ,3.11518
290,1,1,1,N,0.9,23.3,MARICOPA            ,3.11518
291,1,1,1,N,1.1,27.7,MARICOPA            ,3.11518
292,1,1,2,N,0.2,0.0,MARICOPA            ,3.11518
293,1,1,1,N,0.3,0.0,MARICOPA            ,3.11518
294,1,1,3,N,2.2,9.0,MARICOPA            ,3.11518
295,1,1,2,N,1.7,17.1,MARICOPA            ,3.11518
296,1,1,1,N,0.7,32.4,MARICOPA            ,3.11518
297,1,1,1,N,4.0,7.8,MARICOPA            ,3.11518
298,1,1,1,N,0.5,47.2,MARICOPA            ,3.11518
299,1,1,3,N,3.3,10.3,MARICOPA            ,3.11518
300,1,1,1,N,2.3,13.8,MARICOPA            ,3.11518
301,1,0,2,N,0.0,0.0,MARICOPA            ,3.11518
302,1,1,2,N,0.0,0.0,MARICOPA            ,3.11518
303,1,1,2,N,0.3,0.0,MARICOPA            ,3.11518
304,1,1,2,N,3.7,9.1,MARICOPA            ,3.11518
305,0,9,0, ,1.7,19.9,MARICOPA            ,3.11518
306,1,1,3,N,0.2,0.0,MARICOPA            ,3.11518
307,1,1,3,N,1.7,18.9,MARICOPA            ,3.11518
308,1,1,3,N,1.6,14.3,MARICOPA            ,3.11518
309,1,1,3,N,1.2,44.1,MARICOPA            ,3.11518
310,1,1,2,N,0.9,21.3,MARICOPA            ,3.11518
311,2,1,3,N,0.8,31.7,MARICOPA            ,3.11518
312,1,1,3,N,0.5,36.8,MARICOPA            ,3.11518
313,0,9,0, ,0.4,0.0,MARICOPA            ,3.11518
314,1,1,1,N,0.7,27.8,MARICOPA            ,3.11518
315,2,1,2,N,0.4,0.0,MARICOPA            ,3.11518
316,1,1,3,N,0.3,0.0,MARICOPA            ,3.11518
317,1,1,1,N,0.0,0.0,MARICOPA            ,3.11518
318,1,1,3,N,0.1,0.0,MARICOPA            ,3.11518
319,1,1,3,N,1.3,35.9,MARICOPA            ,3.11518
320,1,1,1,N,4.8,6.4,MARICOPA            ,3.11518
321,1,1,1, ,0.8,41.2,MARICOPA            ,3.11518
322,2,2,3,N,16.4,63.8,MARICOPA            ,3.11518
323,1,1,1,N,0.9,25.4,MARICOPA            ,3.11518
324,1,1,1,N,0.7,36.4,MARICOPA            ,3.11518
325,1,1,3,N,0.4,0.0,MARICOPA            ,3.11518
326,1,1,1,N,2.1,10.9,MARICOPA            ,3.11518
327,1,1,3,N,0.2,0.0,MARICOPA            ,3.11518
328,1,1,5,N,0.9,23.9,MARICOPA            ,3.11518
329,1,1,3,N,0.0,0.0,MARICOPA            ,3.11518
330,1,1,2,N,0.5,0.0,MARICOPA            ,3.11518
331,1,1,2,N,0.6,44.5,MARICOPA            ,3.11518
332,1,1,1,N,2.0,13.2,MARICOPA            ,3.11518
333,1,1,3,N,2.8,12.2,MARICOPA            ,3.11518
334,1,1,3,N,1.0,29.2,MARICOPA            ,3.11518
335,1,1,3, ,1.7,14.7,MARICOPA            ,3.11518
336,1,1,1,N,0.8,33.6,MARICOPA            ,3.11518
337,5,1,2,N,1.0,17.9,MARICOPA            ,3.11518
338,1,1,3,N,2.8,7.8,MARICOPA            ,3.11518
339,1,1,2,N,1.4,17.9,MARICOPA            ,3.11518
340,1,1,7,N,3.8,10.7,MARICOPA            ,3.11518
341,1,1,3,N,4.0,6.9,MARICOPA            ,3.11518
342,1,1,1,N,2.5,9.9,MARICOPA            ,3.11518
343,1,1,2,N,1.3,24.5,MARICOPA            ,3.11518
344,1,1,3,N,4.9,7.4,MARICOPA            ,3.11518
345,1,1,0, ,2.3,21.4,MARICOPA            ,3.11518
346,1,1,0,N,1.1,29.7,MARICOPA            ,3.11518
347,1,1,2,N,2.5,10.3,MARICOPA            ,3.11518
348,1,1,3,N,1.8,18.4,MARICOPA            ,3.11518
349,1,1,2,N,0.0,0.0,MARICOPA            ,3.11518
350,0,9,0, ,0.6,35.1,MARICOPA            ,3.11518
351,1,1,1,N,0.7,35.5,MARICOPA            ,3.11518
352,1,1,1,N,0.5,36.7,MARICOPA            ,3.11518
353,1,1,3,N,2.2,12.9,MARICOPA            ,3.11518
354,1,1,3,N,0.9,26.4,MARICOPA            ,3.11518
355,1,1,1,N,1.1,42.4,MARICOPA            ,3.11518
356,1,1,2,N,1.8,16.1,MARICOPA            ,3.11518
357,1,1,3,N,1.0,26.2,MARICOPA            ,3.11518
358,1,1,3,N,0.2,0.0,MARICOPA            ,3.11518
359,0,9,0, ,7.6,4.4,MARICOPA            ,3.11518
360,1,1,3,N,2.1,11.7,MARICOPA            ,3.11518
361,1,1,1,N,1.3,22.2,MARICOPA            ,3.11518
362,1,1,2,N,4.1,7.2,MARICOPA            ,3.11518
363,1,1,3,N,1.7,12.4,MARICOPA            ,3.11518
364,1,1,3,N,0.9,23.6,MARICOPA            ,3.11518
365,1,1,2,N,0.9,32.6,MARICOPA            ,3.11518
366,1,1,1,N,0.3,0.0,MARICOPA            ,3.11518
367,0,9,0,0,0.3,0.0,MARICOPA            ,3.11518
368,0,1,3,N,2.0,11.1,MARICOPA            ,3.11518
369,1,0,7,Y,0.4,0.0,MARICOPA            ,3.11518
370,1,1,1,N,1.2,19.8,MARICOPA            ,3.11518
371,1,1,7,N,3.0,9.9,MARICOPA            ,3.11518
372,1,1,3,N,1.1,41.9,MARICOPA            ,3.11518
373,1,1,3,N,8.0,4.0,MARICOPA            ,3.11518
374,1,1,3,N,1.3,18.5,MARICOPA            ,3.11518
375,1,1,2,N,0.8,26.2,MARICOPA            ,3.11518
376,1,1,1,N,0.1,0.0,MARICOPA            ,3.11518
377,1,1,1,N,1.1,16.1,MARICOPA            ,3.11518
378,1,1,3,N,4.3,7.0,MARICOPA            ,3.11518
379,1,1,2,N,3.5,10.6,MARICOPA            ,3.11518
380,1,1,1,N,2.0,10.6,MARICOPA            ,3.11518
381,1,1,2,N,3.4,6.0,MARICOPA            ,3.11518
382,1,1,2,N,0.5,55.9,MARICOPA            ,3.11518
383,1,1,5,N,3.7,6.9,MARICOPA            ,3.11518
384,1,1,2, ,1.7,12.4,MARICOPA            ,3.11518
385,1,1,1,N,1.5,17.1,MARICOPA            ,3.11518
386,1,1,3,N,1.8,16.7,MARICOPA            ,3.11518
387,1,1,2,N,1.1,22.5,MARICOPA            ,3.11518
388,1,1,1,N,1.5,12.9,MARICOPA            ,3.11518
389,1,1,7, ,1.4,17.7,MARICOPA            ,3.11518
390,1,1,3,N,1.0,33.5,MARICOPA            ,3.11518
391,0,9,0, ,0.9,33.0,MARICOPA            ,3.11518
392,0,9,0,0,0.4,0.0,MARICOPA            ,3.11518
393,1,1,1,N,50.8,1.4,MARICOPA            ,3.11518
394,5,1,3,N,2.0,11.7,MARICOPA            ,3.11518
395,1,1,3,N,2.2,12.0,MARICOPA            ,3.11518
396,1,1,1,N,1.7,19.2,MARICOPA            ,3.11518
397,1,1,1,N,3.4,9.6,MARICOPA            ,3.11518
